 Nascidos vivos - Bahia
Nascim p/ocorrênc por Município e Local ocorrência
Período:2022
"Município";"Hospital";"Outro Estabelecimento de Saúde";"Domicílio";"Outro";"Ignorado";"Total"
"293040 SERRA PRETA";11;-;1;-;-;12
"293050 SERRINHA";1144;9;8;-;-;1161
"293060 SERROLANDIA";64;-;2;-;-;66
"293070 SIMOES FILHO";571;1;5;4;-;581
"293075 SITIO DO MATO";80;-;1;-;-;81
"293076 SITIO DO QUINTO";-;-;-;-;-;-
"293077 SOBRADINHO";99;-;3;1;-;103
"293080 SOUTO SOARES";85;-;-;-;-;85
"293090 TABOCAS DO BREJO VELHO";63;-;-;-;-;63
"293100 TANHACU";14;8;-;1;-;23
"293105 TANQUE NOVO";74;-;1;-;-;75
"293110 TANQUINHO";5;-;-;-;-;5
"293120 TAPEROA";32;-;1;2;-;35
"293130 TAPIRAMUTA";81;-;1;-;-;82
"293135 TEIXEIRA DE FREITAS";3487;-;10;2;1;3500
"293140 TEODORO SAMPAIO";1;2;1;-;-;4
"293150 TEOFILANDIA";37;-;1;-;-;38
"293160 TEOLANDIA";66;-;-;-;-;66
"293170 TERRA NOVA";-;4;-;-;-;4
"293180 TREMEDAL";31;-;-;3;-;34
"293190 TUCANO";169;-;-;1;-;170
"293200 UAUA";55;-;4;4;-;63
"293210 UBAIRA";98;-;1;1;-;100
"293220 UBAITABA";77;-;1;-;-;78
"293230 UBATA";47;-;1;1;-;49
"293240 UIBAI";66;-;2;-;-;68
"293245 UMBURANAS";-;32;-;-;-;32
"293250 UNA";48;-;1;3;-;52
"293260 URANDI";153;1;-;-;-;154
"293270 URUCUCA";-;34;18;-;-;52
"293280 UTINGA";29;-;-;-;-;29
"293290 VALENCA";1689;-;2;1;-;1692
"293300 VALENTE";60;2;-;-;-;62
"293305 VARZEA DA ROCA";11;-;-;-;-;11
"293310 VARZEA DO POCO";38;-;-;-;-;38
"293315 VARZEA NOVA";95;-;-;-;-;95
"293317 VARZEDO";-;-;3;-;-;3
"293320 VERA CRUZ";129;1;7;1;-;138
"293325 VEREDA";24;-;-;-;-;24
"293330 VITORIA DA CONQUISTA";8751;29;31;27;-;8838
"293340 WAGNER";183;-;-;-;-;183
"293345 WANDERLEY";20;10;1;1;-;32
"293350 WENCESLAU GUIMARAES";146;-;6;-;-;152
"293360 XIQUE-XIQUE";647;-;14;-;-;661
"Total";165136;4599;898;603;10;171246
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
