 Óbitos infantis - Bahia
Óbitos p/Residênc por Município e Região de Saúde (CIR)
Período:2018-2022
"Município";"29001 Alagoinhas";"29002 Barreiras";"29003 Brumado";"29004 Camaçari";"29005 Cruz das Almas";"29006 Feira de Santana";"29007 Guanambi";"29008 Ibotirama";"29009 Ilhéus";"29010 Irecê";"29011 Itaberaba";"29012 Itabuna";"29013 Itapetinga";"29014 Jacobina";"29015 Jequié";"29016 Juazeiro";"29017 Paulo Afonso";"29018 Porto Seguro";"29019 Ribeira do Pombal";"29020 Salvador";"29021 Santa Maria da Vitória";"29022 Santo Antônio de Jesus";"29023 Seabra";"29024 Senhor do Bonfim";"29025 Serrinha";"29026 Teixeira de Freitas";"29027 Valença";"29028 Vitória da Conquista";"Ignorado - BA";"Total"
"290620 CANARANA";-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42
"290630 CANAVIEIRAS";-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31
"290640 CANDEAL";-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"290650 CANDEIAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;94
"290660 CANDIBA";-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"290670 CANDIDO SALES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;19
"290680 CANSANCAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;33
"290682 CANUDOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;26
"290685 CAPELA DO ALTO ALEGRE";-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"290687 CAPIM GROSSO";-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
