 Nascidos vivos - Bahia
Nascim p/resid.mãe por Município
Período:2018-2022
"Município";"Nascim_p/resid.mãe"
"293135 TEIXEIRA DE FREITAS";12680
"293140 TEODORO SAMPAIO";248
"293150 TEOFILANDIA";1260
"293160 TEOLANDIA";850
"293170 TERRA NOVA";530
"293180 TREMEDAL";854
"293190 TUCANO";2942
"293200 UAUA";1469
"293210 UBAIRA";1110
"293220 UBAITABA";1330
"293230 UBATA";1017
"293240 UIBAI";742
"293245 UMBURANAS";911
"293250 UNA";1149
"293260 URANDI";864
"293270 URUCUCA";1525
"293280 UTINGA";1156
"293290 VALENCA";6921
"293300 VALENTE";1351
"293305 VARZEA DA ROCA";613
"293310 VARZEA DO POCO";433
"293315 VARZEA NOVA";914
"293317 VARZEDO";570
"293320 VERA CRUZ";2668
"293325 VEREDA";387
"293330 VITORIA DA CONQUISTA";26541
"293340 WAGNER";507
"293345 WANDERLEY";850
"293350 WENCESLAU GUIMARAES";1710
"293360 XIQUE-XIQUE";4372
"Total";950824
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
