ano,co_uf,nascidos_vivos,obitos_infantis,taxa_mortalidade_infantil
2013,35,613824.0,7105.0,11.574979147117089
2013,41,157213.0,1768.0,11.245889334851444
2013,42,90617.0,933.0,10.29608130924661
2013,43,142308.0,1501.0,10.547544762065378
2013,50,43007.0,557.0,12.95138000790569
2013,51,54663.0,860.0,15.73276256334266
2013,52,96382.0,1413.0,14.660413770206056
2013,53,44727.0,565.0,12.632190846692156
2014,11,28134.0,443.0,15.746072367953365
2014,12,17480.0,345.0,19.736842105263158
2014,13,86043.0,1370.0,15.92227142242832
2014,14,11944.0,234.0,19.5914266577361
2014,15,149188.0,2457.0,16.4691530149878
2014,16,16933.0,337.0,19.901966574145163
2014,17,25860.0,354.0,13.689095127610209
2014,21,122693.0,2082.0,16.969183245987953
2014,22,48855.0,833.0,17.050455429331695
2014,23,131458.0,1780.0,13.540446378310943
2014,24,49305.0,714.0,14.481289930027382
2014,25,58160.0,850.0,14.614855570839065
2014,26,143861.0,1992.0,13.846699244409535
2014,27,53246.0,812.0,15.249971828869775
2014,28,34610.0,564.0,16.295868246171626
2014,29,209147.0,3599.0,17.20799246463014
2014,31,270755.0,3241.0,11.970231390002033
2014,32,56626.0,669.0,11.814360894288843
2014,33,235140.0,3081.0,13.102832355192652
2014,35,628433.0,7224.0,11.495258842231392
2014,41,161538.0,1817.0,11.248127375602026
2014,42,93552.0,973.0,10.400632803146914
2014,43,144169.0,1539.0,10.67497173456152
2014,50,44652.0,593.0,13.28048015766371
2014,51,57988.0,899.0,15.503207560184865
2014,52,101124.0,1415.0,13.99272180689055
2014,53,44919.0,526.0,11.709966829181415
2015,11,28379.0,410.0,14.447302582895803
2015,12,17466.0,318.0,18.206801786327723
2015,13,84203.0,1305.0,15.498260157001532
2015,14,12018.0,196.0,16.308870028290897
2015,15,149741.0,2236.0,14.9324500303858
2015,16,16699.0,286.0,17.126774058326845
2015,17,26032.0,333.0,12.791948371235403
2015,21,122546.0,1899.0,15.496221826905815
2015,22,50009.0,743.0,14.857325681377352
2015,23,137854.0,1670.0,12.114265817459051
2015,24,50506.0,704.0,13.93893794796658
2015,25,60705.0,712.0,11.728852648052055
2015,26,148734.0,1923.0,12.92912178788979
2015,27,53887.0,802.0,14.88299589882532
2015,28,35528.0,530.0,14.917811303760415
