co_uf,sg_uf,co_municipio,tx_atendimento_total_agua,tx_atendimento_urbano_agua,tx_atendimento_urbano_esgoto,tx_coleta_esgoto,tx_tratamento_esgoto,consumo_per_capita_agua,idx_conformidade_coliformes,no_prestador_servico_ae
29,BA,291510,77.79,0.0,0.0,0.0,0.0,93.89,92.38,Prefeitura Municipal de Itagi
29,BA,291520,62.97,0.0,0.0,19.28,100.0,120.59,105.37,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291530,77.97,0.0,0.0,0.0,0.0,104.29,108.73,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291535,40.47,0.0,0.0,0.0,0.0,112.29,114.74,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291540,79.99,0.0,0.0,63.4,100.0,94.17,97.22,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291550,100.0,0.0,0.0,83.7,0.0,107.53,74.18,Serviço Autônomo de Água e Esgoto de Itajuípe
29,BA,291560,78.8,0.0,0.0,75.02,100.0,106.38,95.88,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291570,73.21,0.0,0.0,0.0,0.0,92.07,107.14,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291580,90.59,0.0,0.0,5.71,97.84,87.51,122.05,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291590,49.54,0.0,0.0,0.0,0.0,135.3,81.94,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291600,70.03,0.0,0.0,0.0,0.0,112.36,93.61,Prefeitura Municipal de Itanhém
29,BA,291610,79.03,0.0,0.0,56.88,100.0,117.0,113.16,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291620,74.93,0.0,0.0,0.0,0.0,114.64,119.17,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291630,78.74,0.0,0.0,0.0,0.0,93.62,81.79,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291640,100.0,0.0,0.0,91.11,16.54,129.16,129.07,Serviço Autônomo de Água e Esgoto
29,BA,291650,35.24,0.0,0.0,0.0,12.8,145.56,108.65,Prefeitura Municipal de Itapicuru
29,BA,291660,79.89,0.0,0.0,0.0,0.0,83.31,84.88,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291670,59.89,0.0,0.0,0.0,0.0,106.16,126.85,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291680,82.37,0.0,0.0,0.0,0.0,100.75,75.95,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291685,98.14,0.0,0.0,0.0,0.0,105.7,115.23,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291690,88.66,0.0,0.0,0.0,0.0,90.2,106.86,Prefeitura Municipal de Itiruçu
29,BA,291700,40.44,0.0,0.0,13.09,100.0,106.1,102.08,Central - Sistemas de Saneamento de Jacobina
29,BA,291710,96.92,0.0,0.0,60.95,0.0,134.84,413.1,Serviços Autônomos de Água e Esgotos
29,BA,291720,35.98,0.0,0.0,0.0,0.0,121.04,92.56,Prefeitura Municipal de Ituaçu
29,BA,291730,75.49,0.0,0.0,8.65,100.0,83.8,71.84,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291733,48.48,0.0,0.0,82.55,100.0,100.37,81.88,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291735,33.85,0.0,0.0,9.18,100.0,414.7,59.26,Serviço Autônomo de Água e Esgoto
29,BA,291740,35.97,0.0,0.0,42.89,100.0,69.9,100.93,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291750,82.34,0.0,0.0,12.41,100.0,117.34,101.95,Central - Sistemas de Saneamento de Jacobina
29,BA,291760,76.14,0.0,0.0,42.8,100.0,94.3,112.99,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291770,62.89,0.0,0.0,76.65,100.0,112.18,109.26,Central - Sistemas de Saneamento de Jacobina
29,BA,291780,54.07,0.0,0.0,0.0,0.0,88.65,116.22,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291790,59.17,0.0,0.0,0.0,0.0,80.68,104.76,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291800,90.74,0.0,0.0,89.17,100.0,107.69,108.81,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291810,48.36,0.0,0.0,0.0,0.0,123.6,83.18,Prefeitura Municipal de Jeremoabo
29,BA,291820,39.52,0.0,0.0,53.53,100.0,116.85,94.87,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291830,65.61,0.0,0.0,0.0,0.0,101.49,132.5,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291835,91.47,0.0,0.0,0.0,0.0,105.03,103.7,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291840,89.3,0.0,0.0,64.3,82.25,153.31,106.01,Serviço Autônomo de Água e Esgoto de Juazeiro
29,BA,291845,32.28,0.0,0.0,0.0,0.0,133.69,82.26,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291850,89.8,0.0,0.0,0.0,0.0,105.2,112.96,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291855,84.04,0.0,0.0,0.0,0.0,183.42,100.0,Prefeitura Municipal de Jussari
29,BA,291860,38.2,0.0,0.0,0.0,0.0,171.07,105.38,Central - Sistemas de Saneamento de Seabra
29,BA,291870,49.82,0.0,0.0,0.0,0.0,115.57,115.74,Prefeitura Municipal de Lafaiete Coutinho
29,BA,291875,20.13,0.0,0.0,0.0,0.0,116.09,96.93,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291880,26.6,0.0,0.0,53.03,100.0,97.25,87.3,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291890,65.75,0.0,0.0,0.0,0.0,154.24,85.19,Prefeitura Municipal de Lajedão
29,BA,291900,66.37,0.0,0.0,18.04,100.0,103.32,125.0,Empresa Baiana de Águas e Saneamento S.A.
