ano,co_uf,sg_uf,co_municipio,no_municipio,nascidos_vivos,obitos_infantis,taxa_mortalidade_infantil
2022,29,BA,292170,MORRO DO CHAPEU,392.0,5.0,12.755102040816327
2022,29,BA,292180,MORTUGABA,117.0,1.0,8.547008547008549
2022,29,BA,292190,MUCUGE,174.0,4.0,22.988505747126435
2022,29,BA,292200,MUCURI,568.0,4.0,7.042253521126761
2022,29,BA,292205,MULUNGU DO MORRO,193.0,1.0,5.181347150259067
2022,29,BA,292210,MUNDO NOVO,155.0,1.0,6.451612903225806
2022,29,BA,292220,MUNIZ FERREIRA,67.0,2.0,29.850746268656717
2022,29,BA,292225,MUQUEM DE SAO FRANCISCO,162.0,3.0,18.51851851851852
2022,29,BA,292230,MURITIBA,309.0,3.0,9.70873786407767
2022,29,BA,292240,MUTUIPE,246.0,1.0,4.065040650406504
2022,29,BA,292250,NAZARE,240.0,3.0,12.5
2022,29,BA,292260,NILO PECANHA,159.0,2.0,12.578616352201259
2022,29,BA,292265,NORDESTINA,157.0,1.0,6.369426751592357
2022,29,BA,292270,NOVA CANAA,126.0,3.0,23.809523809523807
2022,29,BA,292273,NOVA FATIMA,75.0,1.0,13.333333333333334
2022,29,BA,292275,NOVA IBIA,33.0,0.0,0.0
2022,29,BA,292280,NOVA ITARANA,86.0,0.0,0.0
2022,29,BA,292285,NOVA REDENCAO,84.0,2.0,23.809523809523807
2022,29,BA,292290,NOVA SOURE,308.0,8.0,25.974025974025977
2022,29,BA,292300,NOVA VICOSA,519.0,6.0,11.560693641618496
2022,29,BA,292303,NOVO HORIZONTE,136.0,2.0,14.705882352941176
2022,29,BA,292305,NOVO TRIUNFO,104.0,0.0,0.0
2022,29,BA,292310,OLINDINA,244.0,2.0,8.196721311475411
2022,29,BA,292320,OLIVEIRA DOS BREJINHOS,251.0,1.0,3.9840637450199203
2022,29,BA,292330,OURICANGAS,70.0,0.0,0.0
2022,29,BA,292335,OUROLANDIA,219.0,2.0,9.1324200913242
2022,29,BA,292340,PALMAS DE MONTE ALTO,215.0,3.0,13.953488372093023
2022,29,BA,292350,PALMEIRAS,128.0,4.0,31.25
2022,29,BA,292360,PARAMIRIM,218.0,3.0,13.761467889908257
2022,29,BA,292370,PARATINGA,379.0,12.0,31.6622691292876
2022,29,BA,292380,PARIPIRANGA,271.0,5.0,18.45018450184502
2022,29,BA,292390,PAU BRASIL,142.0,4.0,28.169014084507044
2022,29,BA,292400,PAULO AFONSO,1527.0,18.0,11.787819253438114
2022,29,BA,292405,PE DE SERRA,153.0,1.0,6.5359477124183005
2022,29,BA,292410,PEDRAO,66.0,0.0,0.0
2022,29,BA,292420,PEDRO ALEXANDRE,187.0,5.0,26.737967914438503
2022,29,BA,292430,PIATA,279.0,8.0,28.67383512544803
2022,29,BA,292440,PILAO ARCADO,521.0,7.0,13.435700575815739
2022,29,BA,292450,PINDAI,200.0,3.0,15.0
2022,29,BA,292460,PINDOBACU,253.0,2.0,7.905138339920948
2022,29,BA,292465,PINTADAS,82.0,1.0,12.195121951219512
