-,-,-,-,-,-,-,-,-,-,-,-,-,IN002,IN003,IN004,IN007,IN008,IN010,IN015,IN017,IN018,IN023,IN024,IN025,IN028,IN037,IN041,IN046,IN047,IN052
261255,2612554,Santa Filomena,PE,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE SANTA FILOMENA,PMSF,Local,Administração pública direta,Res. Sólidos ,36153.85,1.66,,0,100,3.85,47.08,100,283.99,,,30.77,0.34,0.73,100,,38.46,7.69
220920,2209203,Santa Filomena,PI,Nordeste,NE,1,2022,Prefeitura Municipal de Santa Filomena,PMGA,Local,Administração pública direta,Res. Sólidos ,64838.46,8.66,100,30.77,69.23,0,44,4.65,528.39,268.37,68.45,100,2.2,,,14.34,0,0
210975,2109759,Santa Filomena do Maranhão,MA,Nordeste,NE,1,2022,Prefeitura Municipal de Santa Filomena do Maranhão,PMSF,Local,Administração pública direta,Res. Sólidos ,30593.49,3.79,,100,0,,32.48,0,,,,,1.13,,,,,
354670,3546702,Santa Gertrudes,SP,Sudeste,SE,1,2022,Secretaria de Obras e Serviços Públicos,SOSP,Local,Administração pública direta,Res. Sólidos ,68300.82,6.5,97.51,3.73,96.27,3.73,99.4,99.52,2402.84,479.3,39.39,7.46,0.88,,93.18,30.66,32.84,23.13
210980,2109809,Santa Helena,MA,Nordeste,NE,2,2022,Prefeitura Municipal de Santa Helena,PMSH,Local,Administração pública direta,Res. Sólidos ,4428.2,0.16,,0,100,6.67,49.65,0,408.95,,,60,0.61,,100,,16.67,16.67
251330,2513307,Santa Helena,PB,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE SANTA HELENA,PMSH,Local,Administração pública direta,Res. Sólidos ,35000,1.91,,100,0,8.33,50.3,99.06,1677.32,,,8.33,0.49,0.98,0,,25,16.67
412350,4123501,Santa Helena,PR,Sul,S ,1,2022,Prefeitura Municipal de Santa Helena,PMSH,Local,Administração pública direta,Res. Sólidos ,8796.3,2.71,,0,100,,52.54,100,,,,,1.08,0.09,,,,
421555,4215554,Santa Helena,SC,Sul,S ,1,2022,MUNICÍPIO DE SANTA HELENA,MSH,Local,Administração pública direta,Res. Sólidos ,37643.35,1.52,76.09,37.5,62.5,25,37.07,78.22,585.73,362.02,66.12,37.5,1.68,0.4,0,23.91,25,0
521930,5219308,Santa Helena de Goiás,GO,Centro-Oeste,CO,2,2022,Secretaria Municipal da Cidade,SMC,Local,Administração pública direta,Res. Sólidos ,54101.69,2.36,100,0,100,8.47,92.24,0,1810.44,,,30.51,0.79,0.49,100,,59.32,1.69
315765,3157658,Santa Helena de Minas,MG,Sudeste,SE,1,2022,"Secretaria Municipal de Agricultura, Desenvolvimento Econômico e Meio Ambiente",PMSHM,Local,Administração pública direta,Res. Sólidos ,32189.29,3.07,10.65,100,0,3.57,72.75,0,4664.54,56.44,27.43,10.71,2.78,,0,61.92,64.29,21.43
292790,2927903,Santa Inês,BA,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE SANTA INES,PMSI,Local,Administração pública direta,Res. Sólidos ,23602.72,2.71,1.08,100,0,2.13,98.54,0,1424.01,111.32,31.31,14.89,0.84,0.03,0,36.06,36.17,23.4
210990,2109908,Santa Inês,MA,Nordeste,NE,2,2022,Prefeitura Municipal de Santa Inês,PMSI,Local,Administração pública direta,Res. Sólidos ,12950.64,0.31,,0,100,,94.1,0,,,,,1.36,,,,,
251335,2513356,Santa Inês,PB,Nordeste,NE,1,2022,Prefeitura Municipal de Santa Inês,PMSI,Local,Administração pública direta,Res. Sólidos ,5294.12,0.43,,100,0,0,40.44,0,247.83,,,41.18,1.14,,0,,58.82,0
412360,4123600,Santa Inês,PR,Sul,S ,1,2022,PREFEITURA MUNICIPAL DE SANTA INES,PMSI,Local,Administração pública direta,Res. Sólidos ,15560.61,1.46,28.04,87.5,12.5,,65.39,48.36,,314.55,26.91,,0.51,2.82,,57.91,,
521935,5219357,Santa Isabel,GO,Centro-Oeste,CO,1,2022,Prefeitura Municipal de Santa Isabel,PMSI,Local,Administração pública direta,Res. Sólidos ,16706.92,0.62,2.04,90,10,10,36.8,2.91,411.34,98.07,30.23,40,1.08,0.23,0,43.75,30,20
354680,3546801,Santa Isabel,SP,Sudeste,SE,2,2022,Secretaria de Serviços Municipais,SSM,Local,Administração pública direta,Res. Sólidos ,,1.42,,,,,42.6,100,,,,,2.16,,,,,
412370,4123709,Santa Isabel do Ivaí,PR,Sul,S ,1,2022,Santa Isabel do Ivai,PR,Local,Administração pública direta,Res. Sólidos ,56336.37,2.36,1.36,100,0,6.67,80.48,5.03,838.27,254.93,75.01,60,0.95,0.36,0,15.42,6.67,13.33
412380,4123808,Santa Izabel do Oeste,PR,Sul,S ,1,2022,PREFEITURA MUNICIPAL DE SANTA IZABEL DO OESTE,PMSIO,Local,Administração pública direta,Res. Sólidos ,88561.01,2.8,70.3,72.22,27.78,5.56,49.98,100,373.8,462.27,27.14,44.44,0.36,1.28,0,18.46,22.22,27.78
150650,1506500,Santa Izabel do Pará,PA,Norte,N ,2,2022,Prefeitura Municipal de Santa Izabel do Pará,PMSIP,Local,Administração pública direta,Res. Sólidos ,47539.28,2.91,,99.08,0.92,22.02,93.13,0,1870.93,,,27.52,0.71,,0,,17.43,21.1
315770,3157708,Santa Juliana,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Santa Juliana,PMSJ,Local,Administração pública direta,Res. Sólidos ,,3.51,15.6,,,,91.52,7.65,1784.94,136.81,24.6,14.29,0.76,0.14,0,33.38,65.31,6.12
320450,3204500,Santa Leopoldina,ES,Sudeste,SE,1,2022,Prefeitura Municipal de Santa Leopoldina,PMSL,Local,Administração pública direta,Res. Sólidos ,43125.45,1.35,4.1,100,0,0,72.24,0,529.03,307.64,45.94,38.89,0.34,0.5,0,32.32,50,11.11
412382,4123824,Santa Lúcia,PR,Sul,S ,1,2022,PREFEITURA MUNICIPAL DE SANTA LÚCIA,SMAMA,Local,Administração pública direta,Res. Sólidos ,23280.59,1.38,7.96,100,0,,100,26.39,,322.23,92.04,,0.72,0.11,,0,,
354690,3546900,Santa Lúcia,SP,Sudeste,SE,1,2022,Setor de Agricultura e Meio Ambiente,SAMA,Local,Administração pública direta,Res. Sólidos ,192676.92,2.86,,100,0,25,92.11,0,821.09,,,75,0.32,0.03,,,0,0
